FID,SchoolSystem,AltName,InstructionalDelivery,Address,Submission_Date,WeekOf,TotalPositive_lbl,TotalPositive_ALL,Subregion
22974,Pickens County,Pickens County School District,"In-person, virtual and blended",377 LaDow Center Circle Carrollton Al 35447,2021-03-09,11,Less than 5,519.0,Pickens County
22975,Piedmont City,Piedmont City School District,"In-person, virtual and blended","502 Hood St W Piedmont, AL, 36272 - 0000",2021-03-10,11,Less than 5,519.0,Calhoun County
23008,Pike County,Pike County School District,"In-person, virtual and blended","101 West Love Street Troy, AL 36081",2021-03-09,11,0,519.0,Pike County
22983,Pike Road City,Pike Road City School District,"In-person, virtual and blended","696 Georgia Washington Road Pike Road, AL, 36064 - 0000",2021-03-08,11,         7,519.0,Montgomery County
22977,Randolph County,Randolph County School District,"In-person, virtual and blended","182 Circle Drive Wedowee, AL, 36278 - 0000",2021-03-09,11,Less than 5,519.0,Randolph County
23009,Roanoke City,Roanoke City School District,In-person and virtual,"557 Main St, Roanoke, AL 36274",2021-03-10,11,0,519.0,Randolph County
22980,Russell County,Russell County School District,In-person and virtual,"506 14th St Phenix City, AL, 36867 - 0000",2021-03-09,11,Less than 5,519.0,Russell County
22874,Russellville City,Russellville City School District,In-person and virtual,"1945 Waterloo Rd Russellville, AL, 35653 - 0000",2021-03-09,11,Less than 5,519.0,Franklin County
22979,Saraland City,Saraland City School District,In-person and virtual,"4010 Lil' Spartan Drive Saraland, AL, 36571 - 0000",2021-03-11,11,Unreported,,Mobile County
22982,Satsuma City,Satsuma City School District,In-person and virtual,"220 Baker Road Satsuma, AL, 36572 - 2402",2021-03-09,11,Less than 5,519.0,Mobile County
22981,Scottsboro City,Scottsboro City School District,In-person and virtual,"305 S Scott Street Scottsboro, AL, 35768 - 2642",2021-03-09,11,Less than 5,519.0,Jackson County
22875,Selma City,Selma City School District,Virtual,"2194 Broad Street Selma, AL 36701",2021-03-09,11,Less than 5,519.0,Dallas County
22986,Sheffield City,Sheffield City School District,In-person and virtual,"300 W 6th St Sheffield, AL, 35660 - 2802",2021-03-09,11,0,519.0,Colbert County
22985,Shelby County,Shelby County School District,"In-person, virtual and blended","410 E College St Columbiana, AL, 35051 - 0410",2021-03-09,11,        35,519.0,Shelby County
22984,St Clair County,St. Clair County School District,"In-person, virtual and blended","410 Roy Drive Ashville, AL, 35953 - 6254",2021-03-10,11,         5,519.0,St. Clair County
22995,Sumter County,Sumter County School District,Virtual,"Hwy 28 To Country Club Dr Livingston, AL, 35470 - 0000",2021-03-09,11,0,519.0,Sumter County
22987,Sylacauga City,Sylacauga City School District,"In-person, virtual and blended","43 N. Broadway Avenue Sylacauga, AL, 35150 - 1941",2021-03-09,11,0,519.0,Talladega County
22988,Talladega City,Talladega City School District,In-person and virtual,"501 South Street East Talladega, AL, 35160 - 2532",2021-03-09,11,Less than 5,519.0,Talladega County
22990,Talladega County,Talladega County School District,"In-person, virtual and blended","106 W South St Talladega, AL, 35160 - 0000",2021-03-09,11,         7,519.0,Talladega County
22989,Tallapoosa County,Tallapoosa County School District,"In-person, virtual and blended","679 East Columbus Street Dadeville, AL, 36853 - 1371",2021-03-09,11,Less than 5,519.0,Tallapoosa County
22991,Tallassee City,Tallassee City School District,"In-person, virtual and blended","308 King St Tallassee, AL, 36078 - 1316",2021-03-09,11,Less than 5,519.0,Elmore County
23011,Tarrant City,Tarrant City School District,In-person and virtual,"1318 Alabama Street Tarrant, AL 35217",2021-03-11,11,0,519.0,Jefferson County
22992,Thomasville City,Thomasville City School District,"In-person, virtual and blended","750 Gates Drive Thomasville, AL, 36784 - 0000",2021-03-09,11,0,519.0,Clarke County
22993,Troy City,Troy City School District,"In-person, virtual and blended","358 Elba Hwy Troy, AL, 36079 - 0000",2021-03-09,11,Less than 5,519.0,Pike County
22994,Trussville City,Trussville City School District,"In-person, virtual and blended","601 Parkway Drive Trussville, AL, 35173 - 1341",2021-03-09,11,Less than 5,519.0,Jefferson County
22876,Tuscaloosa City,Tuscaloosa City School District,In-person and virtual,"1210 21st Ave Tuscaloosa, AL, 35401 - 2934",2021-03-09,11,         7,519.0,Tuscaloosa County
22999,Tuscaloosa County,Tuscaloosa County School District,"In-person, virtual and blended","2314 9th St Tuscaloosa, AL, 35403 - 2568",2021-03-09,11,         9,519.0,Tuscaloosa County
22998,Tuscumbia City,Tuscumbia City School District,"In-person, virtual and blended","303 North Commons Street East Tuscumbia, AL, 35674 - 0000",2021-03-09,11,Less than 5,519.0,Colbert County
22996,University Charter School,University Charter School (Entire System),In-person and virtual,"108 North Street Livingston, AL, 35470 - 0000",2021-03-09,11,0,519.0,Sumter County
23001,Vestavia Hills City,Vestavia Hills City School District,"In-person, virtual and blended","1204 Montgomery Hwy Vestavia Hills, AL, 35216 - 2810",2021-03-09,11,         7,519.0,Jefferson County
22997,Walker County,Walker County School District,"In-person, virtual and blended","1710 Alabama Av Jasper, AL, 35501 - 4966",2021-03-09,11,Less than 5,519.0,Walker County
23002,Washington County,Washington County School District,In-person and virtual,"229 Granade St Chatom, AL, 36518 - 0000",2021-03-09,11,Less than 5,519.0,Washington County
23000,Wilcox County,Wilcox County School District,In-person and virtual,"75 Camden Bypass Camden, AL, 36726 - 0000",2021-03-11,11,Unreported,,Wilcox County
23003,Winfield City,Winfield City School District,In-person and virtual,"481 Apple Ave Winfield, AL, 35594 - 0000",2021-03-10,11,0,519.0,Marion County
23005,Winston County,Winston County School District,In-person and virtual,"25101 Highway 195 / P.O. Box 9, Double Springs, AL 35553",2021-03-09,11,0,519.0,Winston County
25396,Acceleration Academy,Acceleration Academy School District,In-person and virtual,"3100 Cottage Hil Rd ,Mobile AL 36606",2021-03-11,11,Unreported,,Mobile County
25385,Alabaster City,Alabaster City School System,"In-person, virtual and blended","1953 Municipal Way Suite 200 Alabaster, AL 35007",2021-03-09,11,        16,519.0,Shelby County
25395,Albertville City,Albertville City School District,In-person and virtual,"107 West Main Street Albertville, AL, 35950 - 0025",2021-03-09,11,Less than 5,519.0,Marshall County
25393,Alexander City,Alexander City City School District,In-person and virtual,"375 Lee Street Alexander City, AL, 35010 - 2708",2021-03-09,11,Less than 5,519.0,Tallapoosa County
25386,Andalusia City,Andalusia City School District,In-person and virtual,"1201 C. C. Baker Avenue Andalusia, AL, 36421 - 2101",2021-03-09,11,0,519.0,Covington County
25397,Anniston City,Anniston City School District,In-person and virtual,"4804 McClellan Boulevard Anniston, AL, 36206 - 0000",2021-03-09,11,0,519.0,Calhoun County
25394,Arab City,Arab City School District,"In-person, virtual and blended","750 Arabian Dr NE Arab, AL, 35016 - 1161",2021-03-09,11,Less than 5,519.0,Marshall County
25414,Athens City,Athens City School District,In-person and virtual,"455 US Highway 31 North Athens, AL, 35611 - 2653",2021-03-09,11,         5,519.0,Limestone County
25398,Attalla City,Attalla City School District,"In-person, virtual and blended","101 Case Ave Attalla, AL, 35954 - 3404",2021-03-09,11,Less than 5,519.0,Etowah County
25399,Auburn City,Auburn City School District,In-person and virtual,"855 E Samford Ave Auburn, AL, 36830 - 6146",2021-03-10,11,         5,519.0,Lee County
25402,Autauga County,Autauga County School District,"In-person, virtual and blended","153 W 4th St Prattville, AL, 36067 - 3011",2021-03-10,11,        20,519.0,Autauga County
25401,Baldwin County,Baldwin County School District,In-person and virtual,"2600 North Hand Ave Bay Minette, AL, 36507 - 4180",2021-03-09,11,        19,519.0,Baldwin County
25400,Barbour County,Barbour County School District,"In-person, virtual and blended","168 Western Bypass Clayton, AL, 36016 - 0429",2021-03-09,11,Less than 5,519.0,Barbour County
25404,Bessemer City,Bessemer City School District,Virtual and blended,"1621 5th Ave N Bessemer, AL, 35020 - 0000",2021-03-08,11,0,519.0,Jefferson County
25403,Bibb County,Bibb County School District,In-person and virtual,"721 Walnut Street Centreville, AL, 35042 - 2277",2021-03-10,11,Less than 5,519.0,Bibb County
25387,Birmingham City,Birmingham City School District,Virtual and blended,"2015 Park Place North Birmingham, AL, 35203 - 0007",2021-03-09,11,         5,519.0,Jefferson County
25405,Blount County,Blount County School District,"In-person, virtual and blended","204 2nd Ave East Oneonta, AL, 35121 - 0000",2021-03-09,11,         6,519.0,Blount County
25406,Boaz City,Boaz City School District,In-person and virtual,"126 Newt Parker Dr. Boaz, AL, 35957 - 0000",2021-03-09,11,0,519.0,Marshall County
25407,Brewton City,Brewton City School District,In-person and virtual,"811 Belleville Ave Brewton, AL, 36426 - 1754",2021-03-09,11,0,519.0,Escambia County
25522,Bullock County,Bullock County School District,Virtual,"108 Hardaway Avenue, Union Springs, AL 36089",2021-03-11,11,Unreported,,Bullock County
25520,Butler County,Butler County School District,In-person and virtual,"211 School Highlands Road Greenville, AL, 36037 - 1833",2021-03-09,11,         8,519.0,Butler County
25408,Calhoun County,Calhoun County School District,"In-person, virtual and blended","4400 McClellan Blvd Anniston, AL, 36206 - 2809",2021-03-09,11,        20,519.0,Calhoun County
25409,Chambers County,Chambers County School District,In-person and virtual,"1298  AVC Drive Lafayette, AL, 36862 - 0000",2021-03-09,11,Less than 5,519.0,Chambers County
25410,Cherokee County,Cherokee County School District,In-person and virtual,"130 E Main St Centre, AL, 35960 - 1599",2021-03-09,11,Less than 5,519.0,Cherokee County
25411,Chickasaw City,Chickasaw City School District,"In-person, virtual and blended","201 N Craft HWY Chickasaw, AL, 36611 - 0000",2021-03-09,11,0,519.0,Mobile County
25413,Chilton County,Chilton County School District,"In-person, virtual and blended","1705 Lay Dam Rd Clanton, AL, 35045 - 0000",2021-03-10,11,Less than 5,519.0,Chilton County
25412,Choctaw County,Choctaw County School District,"In-person, virtual and blended","107 Tom Orr Dr Butler, AL, 36904 - 3504",2021-03-09,11,Less than 5,519.0,Choctaw County
25417,Clarke County,Clarke County School District,In-person and virtual,"155 W Cobb St Grove Hill, AL, 36451 - 3097",2021-03-11,11,Unreported,,Clarke County
25415,Clay County,Clay County School District,In-person and blended,"62 Court Square Ashland, AL, 36251 - 4108",2021-03-09,11,Less than 5,519.0,Clay County
25416,Cleburne County,Cleburne County School District,"In-person, virtual and blended","141 Davenport Drive Heflin, AL, 36264 - 2207",2021-03-09,11,Less than 5,519.0,Cleburne County
25418,Coffee County,Coffee County School District,In-person and virtual,"400 Reddoch Hill Rd Elba, AL, 36323 - 1661",2021-03-09,11,Less than 5,519.0,Coffee County
25424,Colbert County,Colbert County School District,"In-person, virtual and blended","425 Highway 72 West Tuscumbia, AL, 35674 - 2412",2021-03-11,11,Unreported,,Colbert County
25388,Conecuh County,Conecuh County School District,In-person and virtual,"1455 Ted Bates Road Evergreen, AL, 36401 - 2843",2021-03-09,11,0,519.0,Conecuh County
25523,Coosa County,Coosa County School District,Virtual and blended,"2001 Nixburg Rd, Rockford, AL 35136",2021-03-09,11,0,519.0,Coosa County
25419,Covington County,Covington County School District,In-person and virtual,"807 C. C. Baker Ave Andalusia, AL, 36421 - 2199",2021-03-09,11,Less than 5,519.0,Covington County
25420,Crenshaw County,Crenshaw County School District,In-person and virtual,"183 Votec Drive Luverne, AL, 36049 - 0000",2021-03-10,11,Less than 5,519.0,Crenshaw County
25423,Cullman City,Cullman City School District,In-person and virtual,"301 1st St N E Cullman, AL, 35055 - 3549",2021-03-09,11,Less than 5,519.0,Cullman County
25421,Cullman County,Cullman County School District,"In-person, virtual and blended","402 Arnold St NE Cullman, AL, 35055 - 1590",2021-03-09,11,Less than 5,519.0,Cullman County
25425,Dale County,Dale County School District,"In-person, virtual and blended","202 S Hwy 123, Suite E Ozark, AL, 36360 -",2021-03-09,11,0,519.0,Dale County
25422,Daleville City,Daleville City School District,In-person and virtual,"626 N Daleville Ave Daleville, AL, 36322 - 2006",2021-03-09,11,Less than 5,519.0,Dale County
25426,Dallas County,Dallas County School District,"In-person, virtual and blended","429 Lauderdale St Selma, AL, 36701 - 4581",2021-03-10,11,Less than 5,519.0,Dallas County
25429,Decatur City,Decatur City School District,"In-person, virtual and blended","302 4th Ave NE Decatur, AL, 35601 - 1972",2021-03-11,11,Unreported,,Morgan County
25431,DeKalb County,DeKalb County School District,In-person and virtual,"306 Main St W Rainsville, AL, 35986 - 1668",2021-03-09,11,Less than 5,519.0,DeKalb County
25430,Demopolis City,Demopolis City School District,"In-person, virtual and blended","609 South Cedar Avenue Demopolis, AL, 36732 - 0609",2021-03-09,11,         6,519.0,Marengo County
25427,Dothan City,Dothan City School District,In-person and virtual,"500 Dusy Street Dothan, AL, 36301 - 2506",2021-03-09,11,Less than 5,519.0,Houston County
25428,Elba City,Elba City School District,In-person and virtual,"131 Tiger Dr Elba, AL, 36323 - 4019",2021-03-09,11,0,519.0,Coffee County
25436,Elmore County,Elmore County School District,In-person and virtual,"100 H. H. Robison Drive Wetumpka, AL, 36092 - 2722",2021-03-09,11,        13,519.0,Elmore County
25433,Enterprise City,Enterprise City School District,In-person and virtual,"220 Hutchinson St Enterprise, AL, 36330 - 1899",2021-03-09,11,Less than 5,519.0,Coffee County
25434,Escambia County,Escambia County School District,"In-person, virtual and blended","301 Belleville Ave Brewton, AL, 36426 - 0000",2021-03-11,11,Unreported,,Escambia County
25432,Etowah County,Etowah County School District,In-person and virtual,"3200 W Meighan Blvd Gadsden, AL, 35904 - 1732",2021-03-09,11,         5,519.0,Etowah County
25443,Eufaula City,Eufaula City School District,In-person and virtual,"333 State Docks Road Eufaula, AL, 36027 - 1450",2021-03-09,11,        10,519.0,Barbour County
25435,Fairfield City,Fairfield City School District,"In-person, virtual and blended","6405 Ave D Fairfield, AL, 35064 - 0110",2021-03-09,11,Less than 5,519.0,Jefferson County
25437,Fayette County,Fayette County School District,"In-person, virtual and blended","103 First Ave NW Fayette, AL, 35555 - 0686",2021-03-09,11,Less than 5,519.0,Fayette County
25439,Florence City,Florence City School District,In-person and virtual,"102 S. Court Street Florence, AL, 35630 - 6024",2021-03-10,11,0,519.0,Lauderdale County
25444,Fort Payne City,Fort Payne City School District,"In-person, virtual and blended","205 45th St NE Fort Payne, AL, 35967 - 4011",2021-03-09,11,Less than 5,519.0,DeKalb County
25438,Franklin County,Franklin County School District,In-person and virtual,"500 Coffee Ave NE Russellville, AL, 35653 - 0000",2021-03-09,11,         9,519.0,Franklin County
25440,Gadsden City,Gadsden City School District,In-person and virtual,"1026 Chestnut St Gadsden, AL, 35901 - 0000",2021-03-09,11,0,519.0,Etowah County
25441,Geneva City,Geneva City School District,In-person and virtual,"511 Panther Drive Geneva, AL, 36340 - 1407",2021-03-09,11,Less than 5,519.0,Geneva County
25442,Geneva County,Geneva County School District,In-person and virtual,"606 S. Academy St Geneva, AL, 36340 - 0250",2021-03-09,11,Less than 5,519.0,Geneva County
25445,Greene County,Greene County School District,Virtual and blended,"220 Main St Eutaw, AL, 35462 - 1002",2021-03-09,11,Less than 5,519.0,Greene County
25447,Gulf Shores City,Gulf Shores City School District,In-person and virtual,"300 East 16th Ave Gulf Shores, AL 36542",2021-03-09,11,Less than 5,519.0,Baldwin County
25457,Guntersville City,Guntersville City School District,In-person and virtual,"4200 Highway 79 South Guntersville, AL, 35976 - 0000",2021-03-09,11,Less than 5,519.0,Marshall County
25446,Hale County,Hale County School District,In-person and virtual,"1115 Powers St Greensboro, AL, 36744 - 1219",2021-03-09,11,Less than 5,519.0,Hale County
25450,Haleyville City,Haleyville City School District,In-person and virtual,"2011 20th St Haleyville, AL, 35565 - 1959",2021-03-10,11,0,519.0,Winston County
25448,Hartselle City,Hartselle City School District,In-person and virtual,"305 College St NE Hartselle, AL, 35640 - 2357",2021-03-09,11,Less than 5,519.0,Morgan County
25449,Henry County,Henry County School District,"In-person, virtual and blended","300 N. Trawick Street Abbeville, AL, 36310 - 0000",2021-03-09,11,Less than 5,519.0,Henry County
25452,Homewood City,Homewood City School District,"In-person, virtual and blended","450 Dale Avenue Homewood, AL, 35209 - 3401",2021-03-09,11,Less than 5,519.0,Jefferson County
25451,Hoover City,Hoover City School District,"In-person, virtual and blended","2810 Metropolitan Way Hoover, AL, 35243 - 2944",2021-03-09,11,        21,519.0,Jefferson County
25389,Houston County,Houston County School District,In-person and virtual,"404 West Washington St. Dothan, AL, 36302 - 2540",2021-03-08,11,Less than 5,519.0,Houston County
25453,Huntsville City,Huntsville City School District,In-person and virtual,"200 White St Huntsville, AL, 35801 - 4152",2021-03-09,11,        13,519.0,Madison County
25526,i3 Academy,i3 Academy School District,In-person and virtual,"230 49th St N, Birmingham, AL 35212",2021-03-09,11,0,519.0,Jefferson County
25454,Jackson County,Jackson County School District,In-person and virtual,"16003 Al Hwy 35 Scottsboro, AL, 35768 - 0000",2021-03-09,11,Less than 5,519.0,Jackson County
25455,Jacksonville City,Jacksonville City School District,In-person and virtual,"123 College St SW Jacksonville, AL, 36265 - 2154",2021-03-10,11,Less than 5,519.0,Calhoun County
25458,Jasper City,Jasper City School District,"In-person, virtual and blended","110 W 17th St Jasper, AL, 35501 - 0000",2021-03-09,11,Less than 5,519.0,Walker County
25460,Jefferson County,Jefferson County School District,Virtual and blended,"2100 18th Street S Birmingham, AL, 35209 - 1891",2021-03-09,11,        27,519.0,Jefferson County
25456,Lamar County,Lamar County School District,"In-person, virtual and blended","150 Butler Cir Vernon, AL, 35592 - 1379",2021-03-09,11,Less than 5,519.0,Lamar County
25459,Lanett City,Lanett City School District,In-person and virtual,"105 North Lanier Ave Lanett, AL, 36863 - 2455",2021-03-09,11,0,519.0,Chambers County
25478,Lauderdale County,Lauderdale County School District,In-person and virtual,"355 County Road 61 Florence, AL, 35634 - 0000",2021-03-09,11,        11,519.0,Lauderdale County
25461,Lawrence County,Lawrence County School District,"In-person, virtual and blended","14131 Market St Moulton, AL, 35650 - 1407",2021-03-09,11,Less than 5,519.0,Lawrence County
25463,LEAD Academy,LEAD Academy (Entire System),In-person and virtual,2897 Eastern Blvd. Montgomery Al 36113,2021-03-10,11,0,519.0,Montgomery County
25465,Lee County,Lee County School District,"In-person, virtual and blended","2410 Society Hill Road Opelika, AL, 36804 - 0000",2021-03-09,11,Less than 5,519.0,Lee County
25462,Leeds City,Leeds City School District,"In-person, virtual and blended","1404 8th Street Leeds, AL, 35094 - 0000",2021-03-09,11,Less than 5,519.0,Jefferson County
25464,Legacy Prep,Legacy Prep (Entire System),In-person and virtual,"1500 Daniel Payne Drive  Birmingham , al 35214",2021-03-11,11,Unreported,,Jefferson County
25466,Limestone County,Limestone County School District,In-person and virtual,"300 S Jefferson St Athens, AL, 35611 - 2549",2021-03-09,11,Less than 5,519.0,Limestone County
25467,Linden City,Linden City School District,In-person and virtual,"209 N Main St Linden, AL, 36748 - 0609",2021-03-10,11,Less than 5,519.0,Marengo County
25469,Lowndes County,Lowndes County School District,Virtual,"80 Commerce Street S Hayneville, AL, 36040 - 0000",2021-03-09,11,Less than 5,519.0,Lowndes County
25473,Macon County,Macon County School District,In-person and virtual," 501 S. School St Tuskegee, AL, 36083 - 0090",2021-03-11,11,Unreported,,Macon County
25468,Madison City,Madison City School District,In-person and virtual,"211 Celtic Drive Madison, AL, 35758 - 1615",2021-03-09,11,Less than 5,519.0,Madison County
25470,Madison County,Madison County School District,In-person and virtual,"1275F Jordan Rd Bldg B Huntsville, AL, 35811 - 0000",2021-03-10,11,        12,519.0,Madison County
25472,Marengo County,Marengo County School District,In-person and virtual,"101 North Shiloh Linden, AL, 36748 - 0000",2021-03-09,11,Less than 5,519.0,Marengo County
25471,Marion County,Marion County School District,"In-person, virtual and blended","188 Winchester Dr Hamilton, AL, 35570 - 6626",2021-03-09,11,         7,519.0,Marion County
25494,Marshall County,Marshall County School District,In-person and virtual,"12380 US Highway 431 S Guntersville, AL, 35976 - 9351",2021-03-10,11,         7,519.0,Marshall County
25475,Midfield City,Midfield City School District,TBA,"417 Parkwood St Midfield, AL, 35228 - 2230",2021-03-11,11,Unreported,,Jefferson County
25474,Mobile County,Mobile County School District,In-person and virtual,"1 Magnum Pass Mobile, AL, 36618 - 0069",2021-03-09,11,        33,519.0,Mobile County
25476,Monroe County,Monroe County School District,In-person and virtual,"109 Pickens St. Monroeville, al, 36460 - 0000",2021-03-09,11,Less than 5,519.0,Monroe County
25477,Montgomery County,Montgomery County School District,In-person and virtual,"307 S Decatur St Montgomery, AL, 36104 - 4310",2021-03-09,11,Less than 5,519.0,Montgomery County
25484,Morgan County,Morgan County School District,"In-person, virtual and blended","235 Highway 67 South Decatur, AL, 35603 - 6542",2021-03-09,11,         6,519.0,Morgan County
25479,Mountain Brook City,Mountain Brook City School District,"In-person, virtual and blended","32 Vine Street Mountain Brook, AL, 35213 - 0000",2021-03-10,11,Less than 5,519.0,Jefferson County
25480,Muscle Shoals City,Muscle Shoals City School District,"In-person, virtual and blended","3200 S Wilson Dam Rd Muscle Shoals, AL, 35661 - 0000",2021-03-09,11,0,519.0,Colbert County
25492,Oneonta City,Oneonta City School District,In-person and virtual,"27605 State Highway 75 Oneonta, AL, 35121 - 3228",2021-03-11,11,0,519.0,Blount County
25481,Opelika City,Opelika City School District,In-person and virtual,"300 Simmons Street Opelika, AL, 36801 - 2469",2021-03-09,11,Less than 5,519.0,Lee County
25482,Opp City,Opp City School District,In-person and virtual,"305 E Stewart Ave Opp, AL, 36467 - 0000",2021-03-09,11,0,519.0,Covington County
25483,Oxford City,Oxford City School District,"In-person, virtual and blended","402 Main Street Oxford, AL, 36203 - 1237",2021-03-09,11,0,519.0,Calhoun County
25486,Ozark City,Ozark City School District,In-person and virtual,"860 N US HWY 231 Ozark, AL, 36360 - 3001",2021-03-09,11,         8,519.0,Dale County
25485,Pelham City,Pelham City School District,"In-person, virtual and blended","3113 Cummings Street Pelham, AL, 35124 - 0000",2021-03-09,11,0,519.0,Shelby County
25487,Pell City,Pell City City School District,"In-person, virtual and blended","3105 15th Avenue N.  Pell City, AL, 35125 - 3215",2021-03-10,11,         5,519.0,St. Clair County
25488,Perry County,Perry County School District,Virtual and blended,"200 Monroe St Marion, AL, 36756 - 0000",2021-03-09,11,0,519.0,Perry County
25489,Phenix City,Phenix City City School District,"In-person, virtual and blended","1212 Ninth Ave Phenix City, AL, 36867 - 0000",2021-03-09,11,Less than 5,519.0,Russell County
25490,Pickens County,Pickens County School District,"In-person, virtual and blended",377 LaDow Center Circle Carrollton Al 35447,2021-03-09,11,Less than 5,519.0,Pickens County
25491,Piedmont City,Piedmont City School District,"In-person, virtual and blended","502 Hood St W Piedmont, AL, 36272 - 0000",2021-03-10,11,Less than 5,519.0,Calhoun County
25524,Pike County,Pike County School District,"In-person, virtual and blended","101 West Love Street Troy, AL 36081",2021-03-09,11,0,519.0,Pike County
25499,Pike Road City,Pike Road City School District,"In-person, virtual and blended","696 Georgia Washington Road Pike Road, AL, 36064 - 0000",2021-03-08,11,         7,519.0,Montgomery County
25493,Randolph County,Randolph County School District,"In-person, virtual and blended","182 Circle Drive Wedowee, AL, 36278 - 0000",2021-03-09,11,Less than 5,519.0,Randolph County
25525,Roanoke City,Roanoke City School District,In-person and virtual,"557 Main St, Roanoke, AL 36274",2021-03-10,11,0,519.0,Randolph County
25496,Russell County,Russell County School District,In-person and virtual,"506 14th St Phenix City, AL, 36867 - 0000",2021-03-09,11,Less than 5,519.0,Russell County
25390,Russellville City,Russellville City School District,In-person and virtual,"1945 Waterloo Rd Russellville, AL, 35653 - 0000",2021-03-09,11,Less than 5,519.0,Franklin County
25495,Saraland City,Saraland City School District,In-person and virtual,"4010 Lil' Spartan Drive Saraland, AL, 36571 - 0000",2021-03-11,11,Unreported,,Mobile County
25498,Satsuma City,Satsuma City School District,In-person and virtual,"220 Baker Road Satsuma, AL, 36572 - 2402",2021-03-09,11,Less than 5,519.0,Mobile County
25497,Scottsboro City,Scottsboro City School District,In-person and virtual,"305 S Scott Street Scottsboro, AL, 35768 - 2642",2021-03-09,11,Less than 5,519.0,Jackson County
25391,Selma City,Selma City School District,Virtual,"2194 Broad Street Selma, AL 36701",2021-03-09,11,Less than 5,519.0,Dallas County
25502,Sheffield City,Sheffield City School District,In-person and virtual,"300 W 6th St Sheffield, AL, 35660 - 2802",2021-03-09,11,0,519.0,Colbert County
25501,Shelby County,Shelby County School District,"In-person, virtual and blended","410 E College St Columbiana, AL, 35051 - 0410",2021-03-09,11,        35,519.0,Shelby County
25500,St Clair County,St. Clair County School District,"In-person, virtual and blended","410 Roy Drive Ashville, AL, 35953 - 6254",2021-03-10,11,         5,519.0,St. Clair County
25511,Sumter County,Sumter County School District,Virtual,"Hwy 28 To Country Club Dr Livingston, AL, 35470 - 0000",2021-03-09,11,0,519.0,Sumter County
25503,Sylacauga City,Sylacauga City School District,"In-person, virtual and blended","43 N. Broadway Avenue Sylacauga, AL, 35150 - 1941",2021-03-09,11,0,519.0,Talladega County
25504,Talladega City,Talladega City School District,In-person and virtual,"501 South Street East Talladega, AL, 35160 - 2532",2021-03-09,11,Less than 5,519.0,Talladega County
25506,Talladega County,Talladega County School District,"In-person, virtual and blended","106 W South St Talladega, AL, 35160 - 0000",2021-03-09,11,         7,519.0,Talladega County
25505,Tallapoosa County,Tallapoosa County School District,"In-person, virtual and blended","679 East Columbus Street Dadeville, AL, 36853 - 1371",2021-03-09,11,Less than 5,519.0,Tallapoosa County
25507,Tallassee City,Tallassee City School District,"In-person, virtual and blended","308 King St Tallassee, AL, 36078 - 1316",2021-03-09,11,Less than 5,519.0,Elmore County
25527,Tarrant City,Tarrant City School District,In-person and virtual,"1318 Alabama Street Tarrant, AL 35217",2021-03-11,11,0,519.0,Jefferson County
25508,Thomasville City,Thomasville City School District,"In-person, virtual and blended","750 Gates Drive Thomasville, AL, 36784 - 0000",2021-03-09,11,0,519.0,Clarke County
25509,Troy City,Troy City School District,"In-person, virtual and blended","358 Elba Hwy Troy, AL, 36079 - 0000",2021-03-09,11,Less than 5,519.0,Pike County
25510,Trussville City,Trussville City School District,"In-person, virtual and blended","601 Parkway Drive Trussville, AL, 35173 - 1341",2021-03-09,11,Less than 5,519.0,Jefferson County
25392,Tuscaloosa City,Tuscaloosa City School District,In-person and virtual,"1210 21st Ave Tuscaloosa, AL, 35401 - 2934",2021-03-09,11,         7,519.0,Tuscaloosa County
25515,Tuscaloosa County,Tuscaloosa County School District,"In-person, virtual and blended","2314 9th St Tuscaloosa, AL, 35403 - 2568",2021-03-09,11,         9,519.0,Tuscaloosa County
25514,Tuscumbia City,Tuscumbia City School District,"In-person, virtual and blended","303 North Commons Street East Tuscumbia, AL, 35674 - 0000",2021-03-09,11,Less than 5,519.0,Colbert County
25512,University Charter School,University Charter School (Entire System),In-person and virtual,"108 North Street Livingston, AL, 35470 - 0000",2021-03-09,11,0,519.0,Sumter County
25517,Vestavia Hills City,Vestavia Hills City School District,"In-person, virtual and blended","1204 Montgomery Hwy Vestavia Hills, AL, 35216 - 2810",2021-03-09,11,         7,519.0,Jefferson County
25513,Walker County,Walker County School District,"In-person, virtual and blended","1710 Alabama Av Jasper, AL, 35501 - 4966",2021-03-09,11,Less than 5,519.0,Walker County
25518,Washington County,Washington County School District,In-person and virtual,"229 Granade St Chatom, AL, 36518 - 0000",2021-03-09,11,Less than 5,519.0,Washington County
25516,Wilcox County,Wilcox County School District,In-person and virtual,"75 Camden Bypass Camden, AL, 36726 - 0000",2021-03-11,11,Unreported,,Wilcox County
25519,Winfield City,Winfield City School District,In-person and virtual,"481 Apple Ave Winfield, AL, 35594 - 0000",2021-03-10,11,0,519.0,Marion County
25521,Winston County,Winston County School District,In-person and virtual,"25101 Highway 195 / P.O. Box 9, Double Springs, AL 35553",2021-03-09,11,0,519.0,Winston County
